=== Autosave ===
Buffer entries: 100 / 1000

Tick: 22 | Agents: 5 | Avg Energy: 0.56 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 23 | Agents: 5 | Avg Energy: 0.54 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 24 | Agents: 5 | Avg Energy: 0.52 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 25 | Agents: 5 | Avg Energy: 0.5 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 26 | Agents: 5 | Avg Energy: 0.48 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 27 | Agents: 5 | Avg Energy: 0.46 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 28 | Agents: 5 | Avg Energy: 0.44 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 29 | Agents: 5 | Avg Energy: 0.42 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 30 | Agents: 5 | Avg Energy: 0.4 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 31 | Agents: 5 | Avg Energy: 0.38 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 32 | Agents: 5 | Avg Energy: 0.36 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 33 | Agents: 5 | Avg Energy: 0.34 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 34 | Agents: 5 | Avg Energy: 0.32 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 35 | Agents: 5 | Avg Energy: 0.3 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 36 | Agents: 5 | Avg Energy: 0.28 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 37 | Agents: 5 | Avg Energy: 0.26 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 38 | Agents: 5 | Avg Energy: 0.24 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 39 | Agents: 5 | Avg Energy: 0.22 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 40 | Agents: 5 | Avg Energy: 0.2 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 41 | Agents: 5 | Avg Energy: 0.18 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 42 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 43 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 44 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 45 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 46 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 47 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 48 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 49 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 50 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 51 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 52 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 53 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 54 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 55 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 56 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 57 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 58 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 59 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
